t,dayofweek,weekend,y,y_t_1
5,4,0,13.19592857142857,7.14775
6,5,0,10.196071428571429,13.19592857142857
7,6,1,9.332466666666667,10.196071428571429
8,0,1,6.3331,9.332466666666667
9,1,0,8.337900000000001,6.3331
10,2,0,6.542333333333334,8.337900000000001
11,3,0,7.235916666666667,6.542333333333334
12,4,0,7.691380952380952,7.235916666666667
13,5,0,6.3543529411764705,7.691380952380952
14,6,1,7.3021379310344825,6.3543529411764705
15,0,1,9.442400000000001,7.3021379310344825
16,1,0,6.667071428571428,9.442400000000001
17,2,0,6.713066666666666,6.667071428571428
18,3,0,7.3796875,6.713066666666666
19,4,0,7.292307692307692,7.3796875
20,5,0,7.283176470588236,7.292307692307692
21,6,1,7.596071428571428,7.283176470588236
22,0,1,8.213444444444443,7.596071428571428
23,1,0,4.709416666666667,8.213444444444443
24,2,0,6.530076923076923,4.709416666666667
25,3,0,5.161375,6.530076923076923
26,4,0,7.3794,5.161375
27,5,0,10.02425,7.3794
28,6,1,6.91652380952381,10.02425
29,0,1,6.433785714285714,6.91652380952381
30,1,0,7.9030000000000005,6.433785714285714
1,2,0,11.584909090909091,7.9030000000000005
2,3,0,6.696933333333333,11.584909090909091
3,4,0,8.003571428571428,6.696933333333333
4,5,0,8.39040909090909,8.003571428571428
5,6,1,5.865550000000001,8.39040909090909
6,0,1,6.104090909090909,5.865550000000001
7,1,0,9.0788125,6.104090909090909
8,2,0,4.859266666666667,9.0788125
9,3,0,5.9898235294117645,4.859266666666667
10,4,0,6.130357142857143,5.9898235294117645
11,5,0,7.5947272727272725,6.130357142857143
12,6,1,8.146894736842105,7.5947272727272725
13,0,1,7.770409090909092,8.146894736842105
14,1,0,6.149928571428572,7.770409090909092
15,2,0,6.972111111111111,6.149928571428572
16,3,0,8.54704761904762,6.972111111111111
17,4,0,7.154909090909092,8.54704761904762
18,5,0,5.6415500000000005,7.154909090909092
19,6,1,6.40109090909091,5.6415500000000005
20,0,1,7.4895,6.40109090909091
21,1,0,7.259736842105263,7.4895
22,2,0,4.9525,7.259736842105263
23,3,0,6.754545454545454,4.9525
24,4,0,10.379909090909091,6.754545454545454
25,5,0,6.237272727272727,10.379909090909091
26,6,1,7.38973076923077,6.237272727272727
27,0,1,10.484222222222222,7.38973076923077
28,1,0,6.0830909090909095,10.484222222222222
29,2,0,9.512263157894736,6.0830909090909095
30,3,0,8.18157894736842,9.512263157894736
31,4,0,10.271357142857143,8.18157894736842
1,5,0,5.590347826086957,10.271357142857143
2,6,1,7.482000000000001,5.590347826086957
3,0,1,8.7470625,7.482000000000001
4,1,0,8.1516,8.7470625
5,2,0,7.15895,8.1516
6,3,0,9.13535294117647,7.15895
7,4,0,6.553470588235294,9.13535294117647
8,5,0,7.620160000000001,6.553470588235294
9,6,1,7.01852380952381,7.620160000000001
10,0,1,6.173866666666667,7.01852380952381
11,1,0,6.2556666666666665,6.173866666666667
12,2,0,7.168705882352941,6.2556666666666665
13,3,0,6.943222222222222,7.168705882352941
14,4,0,7.7414375,6.943222222222222
15,5,0,6.123473684210526,7.7414375
16,6,1,6.830176470588235,6.123473684210526
17,0,1,5.4924,6.830176470588235
18,1,0,5.442823529411765,5.4924
19,2,0,8.164304347826087,5.442823529411765
20,3,0,6.994421052631579,8.164304347826087
21,4,0,7.084357142857143,6.994421052631579
22,5,0,5.872714285714285,7.084357142857143
23,6,1,6.882681818181819,5.872714285714285
24,0,1,7.731928571428571,6.882681818181819
25,1,0,7.434454545454545,7.731928571428571
26,2,0,6.6015263157894735,7.434454545454545
27,3,0,6.940368421052631,6.6015263157894735
